Date,Loc_ID,Lat_Dec,Long_Dec,Nitrate
5/8/2024,DW-10,44.4464,-123.1136,12.3
6/1/2023,DW-10,44.4464,-123.1136,10.6
5/23/2022,DW-10,44.4464,-123.1136,10
6/1/2021,DW-10,44.4464,-123.1136,8.88
5/20/2020,DW-10,44.4464,-123.1136,8.37
6/5/2019,DW-10,44.4464,-123.1136,7.34
6/6/2018,DW-10,44.4464,-123.1136,7.16
5/16/2017,DW-10,44.4464,-123.1136,7.02
5/3/2016,DW-10,44.4464,-123.1136,9.26
5/5/2015,DW-10,44.4464,-123.1136,9.69
5/12/2014,DW-10,44.4464,-123.1136,8.53
5/13/2013,DW-10,44.4464,-123.1136,7.56
5/22/2012,DW-10,44.4464,-123.1136,7.76
5/24/2011,DW-10,44.4464,-123.1136,6.66
5/25/2010,DW-10,44.4464,-123.1136,7.09
5/28/2008,DW-10,44.4464,-123.1136,5.56
5/30/2007,DW-10,44.4464,-123.1136,5.33
8/24/2006,DW-10,44.4464,-123.1136,5.13
5/8/2024,DW-11,44.3119,-123.2833,5.63
6/1/2023,DW-11,44.3119,-123.2833,6.72
5/23/2022,DW-11,44.3119,-123.2833,8.89
6/1/2021,DW-11,44.3119,-123.2833,8.18
5/20/2020,DW-11,44.3119,-123.2833,6.67
6/5/2019,DW-11,44.3119,-123.2833,7.75
6/6/2018,DW-11,44.3119,-123.2833,7.54
5/16/2017,DW-11,44.3119,-123.2833,9.35
5/3/2016,DW-11,44.3119,-123.2833,9.15
5/5/2015,DW-11,44.3119,-123.2833,8.24
5/12/2014,DW-11,44.3119,-123.2833,6.93
5/13/2013,DW-11,44.3119,-123.2833,8.56
5/21/2012,DW-11,44.3119,-123.2833,12.3
5/24/2011,DW-11,44.3119,-123.2833,11.5
2/2/2010,DW-11,44.3119,-123.2833,8.14
5/18/2009,DW-11,44.3119,-123.2833,7.41
5/27/2008,DW-11,44.3119,-123.2833,5.62
5/29/2007,DW-11,44.3119,-123.2833,5.61
8/23/2006,DW-11,44.3119,-123.2833,6.21
5/8/2024,DW-13,44.5156,-123.2359,8.36
6/1/2023,DW-13,44.5156,-123.2359,6.83
5/23/2022,DW-13,44.5156,-123.2359,6.08
6/1/2021,DW-13,44.5156,-123.2359,6.03
5/20/2020,DW-13,44.5156,-123.2359,6.58
6/5/2019,DW-13,44.5156,-123.2359,6.64
6/6/2018,DW-13,44.5156,-123.2359,6.8
5/16/2017,DW-13,44.5156,-123.2359,6.26
2/17/2016,DW-13,44.5156,-123.2359,6.44
5/5/2015,DW-13,44.5156,-123.2359,5.61
5/12/2014,DW-13,44.5156,-123.2359,6.32
5/13/2013,DW-13,44.5156,-123.2359,3.89
5/21/2012,DW-13,44.5156,-123.2359,5.48
5/24/2011,DW-13,44.5156,-123.2359,5.16
5/24/2010,DW-13,44.5156,-123.2359,5.94
5/18/2009,DW-13,44.5156,-123.2359,5.05
5/27/2008,DW-13,44.5156,-123.2359,5.57
5/29/2007,DW-13,44.5156,-123.2359,5.82
8/24/2006,DW-13,44.5156,-123.2359,5.22
5/8/2024,DW-15,44.5853,-123.2257,1.93
6/1/2023,DW-15,44.5853,-123.2257,2.25
5/23/2022,DW-15,44.5853,-123.2257,1.58
6/1/2021,DW-15,44.5853,-123.2257,2.06
5/20/2020,DW-15,44.5853,-123.2257,2.16
6/5/2019,DW-15,44.5853,-123.2257,2.43
6/6/2018,DW-15,44.5853,-123.2257,3.39
5/16/2017,DW-15,44.5853,-123.2257,3.49
2/17/2016,DW-15,44.5853,-123.2257,2.33
5/5/2015,DW-15,44.5853,-123.2257,2.03
8/12/2014,DW-15,44.5853,-123.2257,2
5/13/2013,DW-15,44.5853,-123.2257,2.25
5/21/2012,DW-15,44.5853,-123.2257,3.08
5/24/2011,DW-15,44.5853,-123.2257,3.88
