Lab No,Vegetation,Cover Crop,Till,Soil Series,Sample ID,Date Rept,Begin depth (inch),End depth (inch),1:1 Soil pH,WDRF Buffer pH,1:1 S Salts mmho/cm,Excess Lime,Organic Matter LOI %,Potassium ppm K,Sulfate-S ppm S,Zinc ppm Zn,Iron ppm Fe,Manganese ppm Mn,Copper ppm Cu,Calcium ppm Ca,Magnesium ppm Mg,Sodium ppm Na,CEC/Sum of Cations me/100g,%H Sat,%K Sat,%Ca Sat,%Mg Sat,%Na Sat,Mehlich P-III ppm P,H2O NO3-N,Organic C H2O ppm,Organic N H2O ppm,Organic C:N H2O,Aggregate Stability 1-2mm %,Aggregate Stability 1-2mm in bulk soil %,H2O NH4-N,CO2 Soil Respiration,Water Stable Aggregates (Mod),Total N H2O ppm N,Soil Health Score,Microbially Active Carbon (%MA,Organic Nitrogen Release ppm N,Organic Nitrogen Reserve ppm N,H3A Nitrate,H3A Ammonium,H3A Inorganic Nitrogen,H3A Total Phosphorus,H3A Inorganic Phosphorus,H3A Organic Phosphorus,H3A ICAP Potassium,H3A ICAP Calcium,H3A ICAP Aluminum,H3A ICAP Iron,H3A ICAP Sulfur,H3A ICAP Zinc,H3A ICAP Manganese,H3A ICAP Copper,H3A ICAP Magnesium,H3A ICAP Sodium,Total Biomass,Diversity Index,Bacteria %,Total Bacteria Biomass,Actinomycetes %,Actinomycetes Biomass,Gram (-) %,Gram (-) Biomass,Rhizobia %,Rhizobia Biomass,Total Fungi %,Total Fungi Biomass,Arbusular Mycorrhizal %,Arbuscular Mycorrhizal Biomass,Saprophytic %,Saprophytes Biomass,Protozoan %,Protozoa Biomass,Gram (+) Biomass,Gram (+) %,Undifferentiated %,Undifferentiated Biomass,Fungi:Bacteria,Predator:Prey,Gram(+):Gram(-),Sat:Unsat,Mono:Poly,Pre 16:1w7c:cy17:0,Pre 18:1w7c:cy19:0
247971,Soybeans,Cover Crop,,Kennebec Silt Loam,S2_B ,11/27/2023,0,8,6.3,6.5,0.14,NONE,4,81,5.6,0.75,39.4,4.8,0.6,2195,372,28,19.6,27,1,55,16,1,7,6.14,172,12.3,13.9,50,SAND PRESENT,0.7,228.4,74,19.2,22.85,132.8,12.3,0,8,3.8,,12,2,,47,721,141,68,8.9,0.75,3.6,0.28,156,41,2097.31,1.561,45.87,962.07,11.12,233.2,13.71,287.54,0,0,10.66,223.48,3.35,70.29,7.3,153.19,1.96,41.18,674.53,32.16,41.51,870.59,0.2323,0.0428,2.3459,2.0185,16.5122,2.1725,0.7701
247972,Soybeans,Cover Crop,,Kennebec Silt Loam,S2_B_Dup,11/27/2023,0,8,6.2,6.7,0.13,NONE,3.9,86,6.3,0.52,38.9,6.1,0.69,2189,370,24,17.5,18,1,62,18,1,7,5.57,177,12.5,14.2,53,SAND PRESENT,0.5,181.1,75,18.6,20.38,102.1,12.5,0,7.7,2.3,,10,1.5,,44,684,145,66,8.3,0.56,3.7,0.22,148,36,1798.49,1.473,49.18,884.5,12.01,215.99,13.24,238.18,0,0,9.91,178.17,3.25,58.45,6.66,119.73,0.62,11.07,646.32,35.94,40.3,724.74,0.2014,0.0125,2.7136,2.3334,18.8529,2.0173,0.5789
247986,,,,Wymore Silty Clay Loam,S3_F,11/27/2023,0,8,7,7.2,0.17,LOW,5,219,7,1.45,37.1,4.6,0.7,2886,390,18,18.3,0,3,79,18,0,29,3,184,15.4,11.9,56,34,< 0.1,277.4,68,18.4,25.69,150.9,15.4,0,4.7,2.5,,35,16.4,,107,1015,109,59,11.7,0.88,3.6,0.14,172,26,3504.51,1.498,50.04,1753.79,13.07,457.93,13.92,487.87,0.36,12.66,9.83,344.58,3.41,119.51,6.42,225.07,0.37,13.02,1265.93,36.12,39.75,1393.13,0.1965,0.0074,2.5948,2.4063,31.9492,2.1616,0.818
247987,,,,Wymore Silty Clay Loam,S3_F_Dup,11/27/2023,0,8,6.8,7.2,0.17,NONE,5.3,219,7.1,2.98,36,4.4,0.74,2685,371,16,17.1,0,3,78,18,0,34,3.23,183,12.7,14.4,46,23,0.6,348.8,59,16.6,28.23,190.2,12.7,0,4.3,2.4,,37,17.1,,109,1024,109,60,16.2,1.47,3.6,0.14,169,23,3291.14,1.518,50.66,1667.29,13.74,452.15,17.05,561.27,0.32,10.6,12.63,415.67,3.8,124.96,8.83,290.71,0,0,1106.02,33.61,36.71,1208.19,0.2493,ALL PREY,1.9706,1.904,14.6135,2.3056,1.1091
247993,,Cover Crop,,Wymore Silty Clay Loam,S4_F ,11/27/2023,0,8,6.5,6.7,0.17,NONE,6.6,287,10.2,3.08,88.4,5.4,0.68,2255,334,12,17.7,16,4,64,16,0,44,5.14,188,16.4,11.5,38,SAND PRESENT,0.6,363.8,61,22.1,29.22,193.2,16.4,0,6.9,2,,46,20.4,,163,979,72,90,14.6,1.49,3.7,0.2,187,20,5393.19,1.508,53.82,2902.71,13.45,725.46,16.63,896.69,0.23,12.27,15.51,836.6,4.02,216.81,11.49,619.79,0,0,2006.01,37.2,30.67,1653.86,0.2882,ALL PREY,2.2371,1.9431,ALL MONO,2.4835,0.6548
247994,,Cover Crop,,Wymore Silty Clay Loam,S4_F_Dup,11/27/2023,0,8,6.6,7.2,0.17,NONE,6.5,269,10.3,3.04,96.1,5.9,0.79,2357,350,17,15.5,0,4,76,19,0,47,5.63,235,19.5,12.1,46,SAND PRESENT,1.9,283,67,27,27.37,120.2,19.5,0,8.5,3.1,,37,19.6,,138,897,76,82,12.1,1.25,3.3,0.14,173,26,4898.67,1.464,53.68,2629.84,12.93,633.59,14.8,724.88,0.25,12.15,11.8,577.93,3.8,186.09,8,391.84,0,0,1904.96,38.89,34.52,1690.91,0.2198,ALL PREY,2.628,2.1732,50.48,1.8644,0.5205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0.072159397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,7.215939688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
